Gender,Major,Program,GPA
Male,MS,CHD,6.868493055515682
Male,B.Tech,CND,5.999211715452404
Male,PhD,ECE,7.957554483015695
Other,B.Tech,ECE,7.575682832511395
Female,B.Tech,CSE,6.703072815010787
Female,B.Tech,CHD,9.01640018164352
Male,B.Tech,CSE,7.947293448078352
Female,B.Tech,ECE,6.253887666238758
Female,B.Tech,ECE,6.382370241449047
Male,B.Tech,ECE,7.151632678249458
Female,B.Tech,CSE,7.722778194946277
Male,B.Tech,CND,7.099067532455231
Female,B.Tech,ECE,7.3803335225408775
Female,B.Tech,CSE,7.236138790973025
Male,B.Tech,ECE,6.933316903310002
Male,B.Tech,ECE,7.063250410007601
Male,B.Tech,CSE,6.714061699536638
Female,B.Tech,ECE,5.986239868869482
Male,MS,CHD,7.273239559368303
Female,MS,ECE,7.875277773261952
Male,PhD,CSE,8.459493316181527
Male,PhD,CND,7.588475933260295
Male,MS,ECE,7.68592717450655
Other,B.Tech,ECE,5.85073596143785
Male,B.Tech,ECE,6.4393970042988276
Male,B.Tech,CND,7.688390354973495
Female,B.Tech,CSE,6.529430091470474
Female,MS,CND,8.749942538056143
Male,B.Tech,ECE,7.357510012717735
Female,B.Tech,CSE,7.644015050522997
Male,B.Tech,CSE,8.153820221435108
Female,B.Tech,CSE,9.71955683006334
Male,B.Tech,CND,6.13837690584251
Male,B.Tech,CND,7.259510698158727
Other,B.Tech,CSE,6.281544990323344
Male,PhD,ECE,8.667805846508196
Male,MS,CND,8.958396066369328
Male,MS,ECE,7.004698782968362
Female,B.Tech,CSE,6.456826387490764
Female,B.Tech,CHD,9.2235236556075
Female,B.Tech,CHD,8.780411930202009
Female,B.Tech,CHD,7.518091740900069
Male,MS,ECE,7.911002566255987
Male,B.Tech,CSE,5.8024064549032595
Female,MS,ECE,7.130935892937728
Female,MS,CHD,7.282155182897443
Male,MS,CND,7.748195277481817
Female,MS,CHD,8.247479099936765
Male,B.Tech,CND,8.170883080855212
Male,B.Tech,ECE,7.245207748637032
Male,MS,ECE,8.213488262004592
Female,B.Tech,ECE,7.601611988159593
Female,B.Tech,ECE,5.921413419761041
Female,B.Tech,CND,7.59311754152157
Male,B.Tech,ECE,7.720655783625411
Female,B.Tech,CHD,7.31456073544413
Male,B.Tech,ECE,5.8274933054233635
Male,B.Tech,CSE,7.0079006429327375
Male,B.Tech,CSE,5.820756011003553
Male,B.Tech,CHD,8.785284713808267
Male,B.Tech,ECE,7.679690983913379
Male,B.Tech,ECE,5.794666339275357
Male,B.Tech,CHD,6.565048782301715
Female,B.Tech,CSE,5.682280023572941
Male,MS,CHD,7.83637240443609
Male,B.Tech,ECE,7.293783121092202
Male,B.Tech,CND,7.350508412395525
Male,PhD,CND,8.133527794775093
Male,B.Tech,ECE,7.46837505945083
Female,MS,CSE,8.618701235534534
Male,B.Tech,CND,7.432413928867779
Male,MS,CND,7.557190934707335
Male,PhD,CSE,8.688451208480162
Female,B.Tech,ECE,6.016075321438697
Male,B.Tech,ECE,8.01613528662303
Female,B.Tech,CSE,6.9176851234367795
Male,B.Tech,CSE,6.1809753663896725
Female,B.Tech,CSE,7.798110376506599
Male,MS,CND,10.0
Female,B.Tech,CSE,6.2739808710025295
Male,B.Tech,CND,7.678169457910975
Female,PhD,CSE,8.796295664963942
Male,MS,CHD,7.666964211824467
Male,B.Tech,CSE,8.548238355839832
Female,B.Tech,ECE,6.6989812472850625
Male,B.Tech,CSE,6.816242566746202
Female,B.Tech,CSE,7.6651214717706475
Male,B.Tech,ECE,6.806057823580545
Female,B.Tech,CSE,7.673693397070674
Male,B.Tech,CHD,7.956176189659417
Male,B.Tech,CHD,6.117424048012473
Male,B.Tech,CSE,5.382150702153169
Male,B.Tech,CSE,8.19001436075344
Male,MS,ECE,8.789108902448518
Male,B.Tech,CSE,5.685155396582981
Female,B.Tech,CND,7.500883628911292
Female,B.Tech,ECE,7.648046508052838
Male,B.Tech,CSE,5.797833107757606
Male,B.Tech,ECE,6.8042399284589505
Male,B.Tech,CND,6.726921357636594
Female,B.Tech,CSE,7.431675884632244
Male,B.Tech,CND,5.311581723388542
Male,B.Tech,ECE,8.590636578846606
Male,PhD,CHD,8.949461225689284
Male,B.Tech,CSE,7.19808417474314
Male,B.Tech,CSE,7.670466643841057
Other,MS,CHD,8.098909299749911
Male,B.Tech,CSE,8.596026295083494
Male,B.Tech,CSE,6.464312562049537
Male,B.Tech,CND,6.4754845367553795
Female,MS,CSE,8.445756237836084
